,DATE,AUTHOR,TEXT,FAVORITE,YEAR,MANUFACTURER,MODEL,LABEL
12856,05/28/2009,Gary,"I recently purchased this truck almost a month ago for an excellent low price! The 4 cyl exceeded my expectations! The truck has plenty of power, handles great, road noise is lower than I expected and interior and exterior is sharp looking. Gas mileage is great! I wish the speakers sounder better, but hey, it's a truck! It also feels great to buy American!","Gas mileage, great handling, engine power, interior/exterior looks great",2008,ford,ranger,5
21063,08/10/2007,enkaycar,I bought the 4Runner after looking at a LOT of other vehicles and the 4Runner was the best choice. Nothing beats Toyota's build quality and that can be seen with the 4Runner. You still see '84 4Runners on the road! Ride quality is excellent and the drive is smooth. Interior design is great too.,"Multi-informational display, build quality, ride quality, steering wheel audio controls and mileage.",2007,toyota,4runner,5
22164,01/22/2007,The Prince,"For about six months, I researched the TCH and finally purchased it in December. I love driving this car. I am consistently averaging between 38-40 mpg both city/highway. The power and acceleration are adequate and I'm saying this coming from a six cylinder Nissan Maxima. The interior is great, despite the plastic everywhere and the exterior...well, the few times that I had to go to the gas station (and other places) I always get great comments about the look. TCH...I'm lovin' it! If you are wondering if you should buy this car, wonder no more. If I based my selection on the test drive, I probably would have missed out, but now that I own it, it's a dream to drive","Navigation system (very accurate), Bluetooth handsfree phone, JBL audio system, moonroof, leather seats... just everything!",2007,toyota,camry hybrid,5
21687,05/21/2006,Jason,"This is the best car I ever bought. Everything about this ride rocks. There is so much space inside. Everyone should buy one. The interior is incredible. The outside is stylish. The gas mileage is incredible. What's not to like. Well, I guess the 109 hp engine is the only down side... but, that equals the rocking gas mileage. Buy one... you won't regret it.",Everything... there is nothing I don't like.,2007,honda,fit,5
10842,04/17/2009,Jennifer,"I love love love my Mazda 3. I did a lot of research of the Honda Civic, Fit, Toyota Corolla and the Volks Jetta. I was almost going to buy the Corolla until I test drove the Mazda 3 Sedan. It was the handling that sold me and the expensive/sporty look of the trim. The Corolla was everything I expected it to be, but the Mazda 3 surpassed what I was looking for.","The S Grand Touring options- Bose surround sound/6CS changer. The sporty look and 17"" alloy rims. The heated leather seats and i-pod jack. Xenon lights are just plain cool and the rain sensing wipers are cooler.",2008,mazda,mazda3,5
11621,10/14/2009,nomer,"Bought this 10 months ago and am looking to trade it in even though I know I will take a loss. has tons of cargo space and leg room, but the motor works too hard. Doesn't feel like it shifts properly. Not very darty--takes a long time to accelerate. Gas mileage for me has been consistently at 18 miles and less. I have never gotten even 19 mile per gallon as stated. 14 gallon tank is small--feels like I am always at the gas station. radio and amenities are positioned well for a comfy ride. Great heat and A?C but is hard to hear radio over it--not strong speakers","Roomy,with lots of storage. I love the color, too! It looks good! Unfortunately, good looks is about all it has going for it.",2008,hyundai,tucson,2
19220,06/22/2007,Robert T.,"I originally went to the dealership to buy an EX model with the navigation option but as soon as I saw the Si, I had to drive it. I got reeled in by the sound of the exhaust which is mellow but strong and not ""boy racerish"". The 6 speed is silky smooth. The car is not fast by any stretch of the imagination. I have had cars that made 350hp with plenty of torque and this isn?t one of them. I was never under the assumption that I was buying anything more than a Civic to use as my primary work vehicle. It is a nice, sporty looking, decent performing compact sedan but you don't notice the performance until you get above 6000 rpms. That is where the little 2.0L really shines.","Sporty appearance, nice rims. Good handling and a smooth 6speed. The Fiji Blue Pearl paint is amazing to look at. Fuel economy is good. The sticker says 23cty 32hwy and that is about what I get. Nice sound system. Big trunk. Comfy seats. The fun starts at about 6000 rpms so on ramps are always a blast!",2007,honda,civic,4
19758,07/31/2007,Chubbs,"We had a 2000 Tundra that did a wonderful job for us. We moved and when it was time for a new one, the Titan pulled more weight so we got one. While the Titan was a wonderful truck, it's just not a Toyota. This new Tundra is just plain gorgeous and I anticipate performance and comfort on our cross-country journeys while pulling a trailer.","Ride, reliability, resale.",2007,toyota,tundra,5
16581,12/11/2008,07gt,"I have owned 2 other Pontiacs. My 07 is the best car that I have driven. Plenty of horses, sporty but luxury at the same time. I sell cars for a living at a dealer and when ever we get them used I try to get people to buy this car. I believe they are worth every penny!","Supercharger, the monsson system is great and the remote start is the best considering I live in upstate NY.",2007,pontiac,grand prix,5
19629,07/13/2009,Skydive1954,This corvette has been a nightmare. The first thing was the top creaks when hot and has been to the shop 4 times and still not fixed. Both front sway bar links had to be replaced and the entire rack and pinion. The drivers bottom seat panel has to be replaced and the battery has been replaced. The problems just keep mounting and for a car that costs this much I would have expected better quality.,Performance,2007,chevrolet,corvette,1
11562,01/27/2009,Iownahyundai?,"I owned a 2005 Chevy Trailblazer LT, loaded to the max. Sunroof,dual zone auto climate. Everything but the kitchen sink was in this truck. I loved driving it but the gas was killing me and the lease was up. I own a 08 Elantra and I'm happy with it so I figured I would check out the Sante Fe. Fit and finish is good but I don't think the ride is so smooth. When I'm doing 60mph and up I can feel it. On my trailblazer when I was doing 60 it felt like I was going 30mph Gas Mileage is between 18 and 19mpg and this is mostly all highway, so I am not to impressed with the mpg. Santa Fe is basically for the wifey and she likes it but my next truck will be a GM if they're around:)",Like the 3.3V6 and 5speed auto. Like the blue lighting.,2008,hyundai,santa fe,4
18375,12/30/2007,Madi,"Had a 2006 Avalon and was hit head on by a pickup truck. Survived because of the air bags, seat belts and the front crush panels engineered into the car. Replaced the Avalon with a new 2007 Avalon. Shifts smoother, rides like a dream, and has even better milage than the 2006. I get 30/31 mpg on the road and 23/24 in town and for a full sized sedan that is amazing.",Love the air and heat built into the seats.,2007,toyota,avalon,5
9547,01/09/2009,aggie,"The car runs great, handles well, nice and roomy. There is a squeaking noise going over bumps that sounds like it hasn't been lubed. I like it very much. It's versatle and fun to drive. Makes you want to get in it and go cruising except I can't because the headlights randomly flicker. This ranges from mild to severe with severe being when the dash lights flicker too and then they both blip out and then back on again. I've had it to two different dealers who can't find a thing wrong wth it so I guess it must be posessed. I wouldn't buy another one of these. I hope someone can finally fix it so I can enjoy it without worry.",The auxiliary jack. The power driver's seat.,2008,chrysler,pt cruiser,3
13705,01/15/2009,Michigangurl,Well this is my very first SUV and my very first brand new vehicle. I had a 2004 Mazda3 and a 1999 Dodge Avenger before this Jeep. I haven't had it long but I absolutely LOVE it. We looked at several different SUV's before purchasing this one and we were definitely happy with this purchase when we drove it home. I have always loved Jeeps and I was definitely happy to finally own one. It doesn't even hesitate to go through the snow we have and I feel so much safer in it. My dad did own the old body style of the Liberty and I definitely love the changes they have made!,"4WD, the power, the interior, and the comfort of the ride. It is so roomy and nice inside and out.",2008,jeep,liberty,5
11445,08/30/2008,Scotty,"After owning my Dodge Avenger R/T AWD for only 1076 miles (no payments made yet!) my transmission has begun shifting way to early causing a tranny chatter. For example between 40 and 50 miles an hour the transmission has already shifted into 6th gear. Grrr. Instead of down-shifting the tranny ""chatters"" and shakes. I truly love the car and hope the dealership can repair it quickly without problems. Waited my whole life to buy ""new"" and it's going into the shop before the first payment is due!",Everything (but the transmission!),2008,dodge,avenger,3
22952,01/04/2007,Rashed,"One of the nicest and fun to drive car i drove in my whole life. I cant describe my feelings, the interior is awesome the dashboard the seats every thing every thing in this beauty is wonderful. by by Lexus. it is time to welcome the king of luxury from Japan (Infiniti).",Powerful engine just push the throttle a little and you will notice at once whats hiding beneath the hood. the exterior is a piece of art.,2007,infiniti,g35,5
18769,03/14/2006,skylane,"As a Yukon owner for 6 years, the 2007 Yukon is a striking upgrade. Handling is very solid. Exterior fit and finish are noteworthy. Interior design is intuitive and everything works. I miss the rear ""barn doors"" of my older version. I appreciate the presence of the air bag curtains. All of the luxury items I sought are combined in this large SUV. Prior to the purchase I drove the BMW X5, the Q-ship and my last test drive was a 2007 Yukon. Exiting the 2007 Yukon, the decision was immediate: 2007 Yukon.","Comfort, fit for tall people, cool interior design, attractive outside, Displacement on Demand engine.",2007,gmc,yukon,5
5691,04/10/2008,Angel973,"I luv this car. It's compact and cute - IMHO it's the most eye-catching compact cross-over SUV in the market right now. Before we bought this car, we had test driven Honda CR-V, Subaru 2009 Forrester, RAV-4 and Matrix 2009 AWD. Rogue provides the best balance for what we are looking for in its segment. It's responsive, beautifully designed inside and out. The gas mileage is reasonable. Best of all, you get the best value out of the money you spend. Highly recommended.","The feel of its road drive, and the way it looks!",2008,nissan,rogue,5
2216,03/10/2009,Eric,"I absolutely love my 2008 CTS. I chose a 6 speed manual with the direct injection (304 hp) and for the power it gets amazing fuel economy. I have not had one single problem with this car since I drove it off the dealer lot. The cabin is comfortable, quiet and has lots of goodies to play with. Th exterior literally makes heads turn. The materials are high quality and the design is flawless.","When you turn your car on, does it return the favor. The answer is YES!",2008,cadillac,cts,5
13406,11/16/2008,Rick,"I have owned a 2005 Maxima, which was totaled early this year and now a 2008 Maxima. This car is really a considerable car to purchase. The comfort and performance stands out in 2008 Maxima. There are too many car buyers down-playing the CVT engine. People have been use to the engine shifting over 50 years of cars. This Maxima with CVT has no shift shock. So it's nice and smooth driving. 0-60 in 6 seconds and I able to pull a track time of 14.8 1/4 mile in 75 degree weather. With my 05 Maxima, I put on 35K miles and had NO problems with the engine. Now with this new 2008 Maxima, I have 5K miles and still no problems. This 08 SL is worth what I spent and I highly recommend it.","Lowjack security, nitrogen filled tires, tire pressure sensors, 4300k HID headlights, rear sensory package, automatic folding side mirrors, stereo auxiliary input, keyless entry and start, power sunroof, memory set steering wheel and driver seat, XM radio, auto dimming mirrors.",2008,nissan,maxima,5
9249,05/01/2008,Al R.,"Love this car! It handles great, provides a smooth ride, very quiet, great gas mileage for teh size, and looks fantastic! A lot of features for an LT model!","Smooth, quiet ride. Great fit and finish. 29 mpg so far on the freeway, averaging 60 mph. Remote starter! Great rims! Adjustable pedals. Anti lock brakes, and side impact airbags!",2008,chevrolet,malibu,5
8530,02/06/2008,Frank,"I was interested in AWD, coming from a Benz SUV, and looked at Audi, Acura, Infinity, Lexus, Mercedes, and Cadillac. The 535xi was simply the best car that I drove. It also was the most expensive of the group that I tested. In fact, like others have said, it is the best car that I have ever driven! The technology is not intrusive, it is helpful and with a little practice and reading the manuals, the navigation system and communication systems are your best friends. The fit and finish of the interior is impressive. The combination of pure driving capability, speed when needed, technology, and creature comforts in the cabin, made me covet the car.","Seating, handling, iDrive, bluetooth.",2008,bmw,5 series,5
22100,05/08/2008,lionel diaz,"I turned in my 2006 Explorer V6 XLT to get a smaller more fuel efficient SUV that was also not so truckish. The Escape V6 AWD was the SUV of choice. I got for a good price one year old used with 17,000 miles. The Explorer I traded in got only an avg. of 12-13 mpg and had a real truck SUV feel to it. The Escape has a much smoother feel to it and gets an avg of 19 mpg.",Small but roomy and the awd is better than part time 4x4. Easy to manuever around town.,2007,ford,escape,4
11069,08/31/2008,Geo,"I bought this car in January 2008 and since then all the other cars I drove in my life were nothing. It's an absolutely fantastic car, very quick, the engine noise fantastic ,the steering is like driving a GTi and the build quality fabulous. Of course like every car in the market has its negatives. I have tried hard to find as many as I can but I only find one. Fuel consumption. Well at least you know it before you buy, it even though that Mazda misleads you with the 12.3l per 100km. The best i have managed is 14.5l per 100 km.",,2008,mazda,cx-7,4
7757,02/12/2008,FordNut1016,"Due to the excellent lease programs, I decided on the F-150 due to the value of the programs. I came out of a 2003 Taurus that I drove 100K+ miles without an ounce of trouble. Although it took a day or two to get used to the size, this truck has exceeded my expectations in every conceivable way. It's comofortable, it's smooth and handles beautifilly. The gas mileage of course could be better, but the trade off is excellent road manners, room for 5 and extreme comfort. The 4 X 4 is amazing in snow. Not a squeak, rattle or flaw. I love it.","4 X 4, satellite radio.",2008,ford,f-150,5
8229,01/01/2008,underdog,"I was not planning on purchasing a Vue. After seeing the quality and test driving it, I was very impressed. I didn't care for the gas mileage, but figured it was a trade off for the AWD and power for Maine driving. I opted out of the original Vue with the 4- cylinder engine. Please take the lack of power into consideration when making your final decision. But, true to their word, Saturn took my 4-cyl. back and put me in to a 6 cyl AWD. What a difference in vehicles. Overall, the Vue has been a pleasant vehicle for me to drive. I use this vehicle for business and drive it every day. When you drive past an older Vue, you'll be proud of how far along they've come.","My favorite features would have to start with the AWD. I have never had an AWD vehicle and I am very inpressed. Secondly is the built in XM option and OnStar. I never thought audio / safety options would be ""as"" important as they are. I can't forget the interior and exterior design. Much improved.",2008,saturn,vue,4
4734,12/02/2008,vbrunst,"Just got the car last week. Traded Porsche Cayenne base model. What a difference! Handling is superb. Very quiet and powerful. Much fun to drive. Superb nav system, easy to use. Bluetooth phone integration is very good and very useful. Have not pushed the car given that it is still being broken in. Pain finish is superb - silver metallic is a great choice. Did not like active steering - seems overly heavy. Glad my car does not have it. Enough road feel as is. car was delivered with two, hopefully, minor defects - driver's side heated seat control does not work and there is rattle around the steering column.","Handling, throttle response, quietness. Nav system. wish car had folding rear seats - mine did not have this option.",2008,bmw,3 series,4
10661,12/03/2008,Beth Ann,"I looked around for a car for almost 6months then I found my Accent! The price the payments and the insurance all fit perfect! I'm 20, live on my own and work full time and go to school! So money is tight but I never stop moving. I needed something cheaper, dependable, and good on gas. My little car is perfect! I can park anywhere and I love my XM. Oh and I had it out in the country for the first time the other day and it handle the gravel roads and bumps great.","My radio and the trunk, it has a enter handle so when your hands are full its still simple to get it shut. also i like the seats, they feel secure but they keep you comfortable.",2008,hyundai,accent,5
16424,06/25/2007,Rasta1,"I traded in a sexy Maxima for a minivan and I love it. It is perfect for a family, has loads of room, is very comfortable, has great pick-up.",We love the bucket seats in the middle row and the push down seats in the rear.,2007,kia,sedona,5
2047,04/14/2008,ucmoyaris,"I am going to write this for what it is, one of the least expensive cars on the market. I am really impressed for the price. With the first fill up, got 42 mpg. A/C, AM-FM stereo/CD with MP3 plug in. ABS, 15"" wheels, drives nice, plenty of power to weight. I bought a car that is much quieter then my Ranger XLT, gets better mpg then my RAV4 and is fun to drive. Unlike those who want all kinds of standard features, I am happy that they aren't loaded as I had a lot more choice in the price. I understand that I didn't buy a Lexus, I bought an economy car and am very happy with it. I look forward to years of Yaris miles.","MPG, MP3 capabilities, size, ease of driving, everything",2008,toyota,yaris,4
1746,05/21/2008,Mark Nahra,"Great vehicle. Researched Ford Escape and all other small SUV's and the Patriot is the best value even if gas goes up to $5 a gallon. No need for you to repeat my research. Been getting about 21.5 mpg on the first tank mostly city driving though. Sharp vehicle, with really great handling, I can get it into tight spaces. Have your cake and eat it to with this SUV. Can't wait to see how it will perform in the snow.","Looks, leather, Navigation is cool, good MPG considering it's a non-hybrid. Fuel savings of the Ford escape is not worth the higher up-front cost including any tax credit for $3k. If you want to wait 3 months for a Ford, be my guest.",2008,jeep,patriot,5
9968,09/28/2008,MrBTJ,Purchased the M35 with the technology package in July (08). For the most part it is a lovely car but it seems like it is missing some comfort items. It swallows gasoline instead sipping on it. The ride is nice and quiet and it has PLENTY of room inside and a ton of style outside.,"The overall exterior design of the car, bluetooth, interior room.",2008,infiniti,m35,4
1113,04/26/2009,Dr of Golf,This has got to be the best Honda that we've ever owned. The mileage is fantastic for an SUV-type vehicle and the space is great. The mileage compares to our old Honda Accord. Our new CRV is fun to drive and we love taking it out on the highway where it gives us about 32 mpg. We average about 25 mpg in town. Can't say enough about the great gas mileage and the fun it is to drive. Best economical car we've ever owned. Like it almost as much as our Mercedes 560SL ... almost.,"Excellent handling, great gas mileage, and lots and lots of room for golf clubs, luggage, and 5 people.",2008,honda,cr-v,5
18362,07/28/2008,chicago88,This car keeps me laughing at all who spend a lot more on the luxury models as well as those whom have to use premium fuel. The Avalon has a limo like back seat which makes taking guest out with you a very flattering event as well as the pleasure and comfort of the ride. I use this car for both long business trips (300 mi+) and local. The mileage has been good for a bigger six (24 mpg avg). The ability for this car to get up and go is amazing. The manual shift mode is exciting with almost 300 ponies under the hood but yet refined enough for the wifes finest dress and black tie night out.,"Creature comforts like the auto sensing wipers and the air conditioned seats, reclining back seats. These are just some of the things I have come to appreciate when I drive my other cars that do not have these.",2007,toyota,avalon,5
15336,11/21/2006,amy,When driving the Yaris you feel like an ice skater gliding over the ice. I have only had the car for 4 days but I know it's the best purchase I've ever made. The gas mileage is awesome as a commuter this will come in handy!!!,"The stereo is awesome, The sound that come out is the best I have ever heard!!!",2007,toyota,yaris,5
7070,02/11/2008,Drwarf,"I finally own my dream vehicle. This RDX is beautiful. I picked the carbon bronze because not too many vehicles on the road are that color. The AWD is superb for handling in any situation. The turbocharged engine is very good for performance in passing and acceleration, better than some V6s. The interior is very comfortable with the adjustable driver seat and roomy enough second row. The satellite radio, 360-watt stereo system, dual climate, digital read-outs, and memory seats are all awesome for standard equipment. The fuel economy is respectable and premium gas is not a problem. This crossover is a 10 all the way around. Thanks Acura for another innovative, top-of-the-line vehicle.",Turbocharged engine. Satellite radio. 360-watt system. Comfortable leather interior. Roomy second row for a compact suv. Memory driver seat. Xenon headlights.,2008,acura,rdx,5
4301,08/25/2009,GLB360,"Great car. I bought it for the reputation, safety rating and gas mileage. Pros: drove from Los Angeles to Dallas and got 36 hwy and up to 46 when not using the A/C, very ?zippy? and fun to drive. Huge windshield allowing passenger to prop feet up on dash, adequate room inside and trunk. Cons: sometimes acts like it wants to stall when idling. Front brakes replaced at 22,000 miles (not covered by warranty). I was told this was due to driving in LA traffic which I believe; CD player died so entire audio system replaced 8 months after purchase (covered by warranty) and lots of road noise. Locked keys in car due to automatic locking system - very annoying!",Outside style. Received many compliments.,2008,honda,civic,4
20555,11/28/2006,Carlos,"Have never really been a fan of Mercedes Benz, too boxy looking. Thought it was like driving a good truck. Must say this new 2007 E350 is awesome. I love the new redesign. Finally Mercedes is on the right track. Drives like a dream and really hugs the road and with the sports package. It has nothing to envy compared to the BMW. I just upgraded from my Lexus 430 smooth ride, but the Mercedes is a lot more fun to drive. Especially impressed with the 268hp V-6. Excellent pick up and go!",The handling on the open road is tight and performance in general have no regrets. The nav system. Until you have it you don't know what you're missing. The Sirius radio system complimented by the Harmon Kardon stereo is fantastic.,2007,mercedes-benz,e-class,5
2,08/14/2009,No Fun,"I am very disappointed with the engine & automatic transmission design. There is a very bad dead zone in the acceleration in 1st from a dead stop. The top squeals when coming up. The maintenance is free but when they don't fix anything it's worthless. The repair shop isn't familiar with the car and can't fix problems. I have had to go back 4 or 5 times before something gets fixed. They have even lied, actually fixed something and said on the repair sheet that there was nothing was wrong. I would not recommend anyone buy this Car with an automatic. The rear view is cluttered and very dangerous to back up. The automation in the controls is stupid, mostly unnecessary and very annoying",Handling is exceptional and fun. I like the convertible.,2008,mini,cooper,1
15865,03/29/2009,farmwife,"This is my first jeep. I bought it because of price and fuel economy. We had a snowy winter, and it handles well in snow. I have a toddler, so the plastic back on the seats and the YES fabric work great. Controls are in odd spots, and that took some getting used to. Window noise from rear windows is annoying. Seats are uncomfortable, and the arm rest is terrible, cup holders very inconvenient. For the second time in a month, the power windows have failed. All four windows get stuck down, the controls get some working after repeated effort. Rear driver never responded, stuck down. In zero degree weather with a toddler, a real problem. Today it did it again- thinking of trading...","4x4, YES fabric, good handling",2007,jeep,patriot,2
3596,03/01/2008,Spunoffandaway,"Another great car! The 2008 may be the last in this series, so I had to buy before they change it into a cross-over! I drive a lot of interstate miles, and feel safe with higher assurance of returning if hit. Sort of a small tank. No fear of muddy country roads with the great 4wd. Did have to give up a power plug for the MP3 plug-in (bummer)!The 08 has added XM radio and does offer some good entertainment while on trips. Almost same as 05, slight loss of build quality. Noticeable looseness in rear torque conversion around 35 mph or so, not in 05. Maybe it will go away with time. Still could not get side airbag option, must be a myth, like GPS. Not an economy car. Feels secure on the road.","Weight, height off road for visibility, fun truck to drive.",2008,nissan,xterra,4
19411,11/19/2006,Driver 46,"Don't buy. Unfindable can't-fix-it interior rattles & bumps and rough highway pavement. Balky starts from standstill - drivers new to car stall in traffic again and again. Seatbelt alarm makes punishing howl six times if one doesn't buckle up before starting car, so one must first open door with key, put down key down, buckle up, then pick up key and start car. Forget to do it and get punished by ugly noise. There is no sound insulation at all - hear every noise in wheel wells. Seat back mechanism to enter rear does not go back to position so seat backs must be readjusted each time. NO LUMBAR SUPPORT. Less than average directional stability. This car stinks.",Nice exterior styling. Good proportions and OK exterior finish.,2007,honda,civic,1
4403,05/09/2008,S Borden,I chose this car because dealers were gouging on the Prius. I have been very pleasantly surprised. My mileage has been 48 highway and 43 city-- better than expected. Road noise and stereo have not been issues and both are superior when compared to my 2005 Escape Hybrid -- and the Civic is a lot more fun to drive. I highly recommend this vehicle.,,2008,honda,civic,5
19860,03/08/2007,Sarah Smith,"When I first got behind the wheel, the truck seemed enormous. Almost too big if you can believe that. But after a few miles of driving, I quickly fell in love with everything in the truck. It has everything and more a driver could want. You can haul groceries, building supplies, kids, kids friends, tow the boat, camper etc. and on and on and on. There is almost no limit with this truck. It also handles and rides really really good.","Room, towing ability, looks, comfort, toyota reliability.",2007,toyota,tundra,5
10934,10/28/2008,turbodreams,"Have this car in Silver without a wing. The wingless lancer looks classy especially in silver. Added limo tints to the back half of the car. This adds amazing privacy for that luxuriously large back seat area (if ya know what I mean). Also if you take time to notice, the fabric used for the seats is perfect and very cleanable (much better than leather would be). I couldn't ask for sportier gauges. Thanks Mitsubishi. If 152 HP isn't enough, slap an intake an exhaust on it, you'll pass TCs, Civics and Mazda 3s. I must say when driving this car, I feel very in control of it. Many other cars don't compare. I adore my cars spacious interior so much. It's not just a car. It's an adventure. Thanks Mitsubishi.",-VERY ROOMY interior (especially in back) -Sturdy and Responsive handling -Facial features -Bright headlights VERY bright hi beams -Comfortable seats in front and back. -GAS MILEAGE got it up to 44.1 MPG doing 55 MPH!,2008,mitsubishi,lancer,5
12127,02/14/2008,great car,"I LOVE this car! We researched new cars for about 5 months before deciding on this one. The interior has more room than the 4runner and yet still has bigger tires and gets better gas mileage. Plus, the third row is standard and folds flat, the 4runner isn't a standard 7-passenger and the seats don't fold flat. The layout of the interior is superior to the pilot and every other car we had test riden. It just by far is the best reliable car that can be sporty, but yet still fit the whole family in. We are a family of 5, and fit very comfortably. I just love driving it!","Love the versatility of the middle row, it can be 2 bucket seats, or have a console, or be 3 seats. The ease of folding the third row... it literally takes 2 seconds to fold flat.",2008,toyota,highlander,5
1863,07/19/2008,Wilfredo,"I bought this car after many months considering the various options. I can truly say that for the money it has been a very good car. It serves its purpose very well for a couple. However, a family will find it tight to fit. My wife and I absolutely love this car. We have done 2 long trips with it and have been very pleased with the gas mileage, it has been exactly as described. It is my first Jeep and all I have to say is ""Well Done Jeep"".",All the plush equipment at a very reasonable price. Can't get the same equipment on other small SUVs without paying a steep price.,2008,jeep,patriot,4
11180,06/05/2008,Southern Comfort,"Overall we have found the van acceptable. Having traded a Pontiac ssei sedan for the van beacuse of medical reasons we've found many of the amenities of the sedan lacking in the van and not available as an option. However, for the task of carrying medical equipment it is acceptable. The large amount of room is pleasing. Gas mileage isn't great, especially for a 250 hp engine. The sedan got 19 mpg in town, 23 mpg on the highway and was a 3.8l, turbocharged 276 hp engine.",Automatic doors Power outlets Luggage rack Ease of access and egress,2008,hyundai,entourage,3
14541,08/08/2008,cobalt_xfe,"I bought this car as a replacement to a 1993 Audi. I drive a lot and needed good fuel economy. I have almost 5000 miles on the car and my calculated mpg is 37.4. The headrests are uncomfortable from the factory (they tip my head forward), but they are easily reversed and quite comfortable when reversed. It is a little tight with 2 teenage boys in the back, but they can make it work. It handles well. It has good acceleration and cornering. I was a little afraid of the low rolling resistance tires, but they seem to perform well. The stereo is adequate, but lacks fidelity in the bass. I suggest the XFE version over the standard. Its performance seems about the same. Minor lines mismatch on hood",Fuel economy. Handles well. Driver information display. Intelligent oil monitoring. Comfortable driving. Fold down rear seats. Fun to drive. Large trunk. Tire pressure readout. Center armrest. Long oil life. Great commuter car.,2008,chevrolet,cobalt,4
11567,12/25/2008,Austin,"So far I have not experienced any of the transmission issues that others are talking about. I have nothing but good things to say about this vehicle. I have custom 2 tone leather seats in it and they are fantastic. Have no issues with any of the instruments or controls. I'm averaging about 16.8 mpg (only 400 miles on the vehicle and nothing but city driving, no hwy miles really). The torque and hp is a LITTLE low but all that does is teach me to accelerate without a sense of being in a race all the time. That saves gas anyway so I think it's fine. At speed I have no problem getting in and out of traffic. By the way my previous vehicle was a VW Jetta VR6 and this gets better mpg.","Blue instrument cluster, tons of room for cargo, this vehicle is not overdone. I didn't want to drive a Mercedes and this vehicle doesn't stick good looking JUNK into the interior to make you feel like you have more than you bought. They did it just right.",2008,hyundai,santa fe,4
16459,05/07/2007,John M,"Comfortable, in control feeling all of the time. Hardly any lean in the corners seems bigger than it actually is.",Value for the price.,2007,subaru,b9 tribeca,4
18885,10/03/2007,becky norton,Love the AWD. The varable transmission took some getting used to. Really like how it handles,AWD and seating arrangement,2007,ford,freestyle,5
20965,08/09/2006,Squelch Oil,"I have put about 1600 miles on the car so far and love it. There are a few minor things to quible about, but overall this car is an absolute blast to drive. Faster then a stock M3 and a lot more comfortable.",0-60 in about 5 seconds even,2007,mercedes-benz,clk-class,4
8542,12/19/2007,fm,"We had a 2006 325i which we traded for the 528i. The 3 series is a fun car to drive but the 5 series is truly a luxury automobile. The ride, comfort, workmanship & engineering is outstanding. My wife & I were somewhat apprehensive about the iDrive, but we both actually like it & it is not that difficult to use. This is our second BMW & would recommend the BMW brand to anyone looking for luxury.","Ride, handling & the great looks of this automobile",2008,bmw,5 series,5
2653,01/12/2008,Bert,"This Enclave is the 27th vehicle I have owned, the great majority being GM brands. I had about given up on GM for my next vehicle until I saw the Enclave at the Phoenix Auto Show. I purchased one two weeks later and love it. The quality is exceptional and the styling and performance leave nothing to be desired.","Remote start, park assist, memory settings on power tilt/telescopic steering wheel.",2008,buick,enclave,5
4667,04/16/2008,ABauer03,"The Dodge Challenger SRT8 is one of the sexiest new models on the market right now. It had an immediate impact from the time it was unveiled as a concept car in 2006 and continues to be one of the most anticipated cars of the year. Dodge needs to capitalize on the endless opportunities with this model and set the pace for reinventing the modern American muscle car. Dodge should play off two versions of this car. Have one ""Big Baller"" V8 model with an MSRP of just under $40,000 and a more affordable ""Economized"" version with a V6 at around $25,000. Dodge can capitalize on the SRT8 if they realize the popular demand for this car...","The body frame. It's not about curves, it's about brute strength and horsepower (something the SRT8 has plenty of).",2008,dodge,challenger,5
13745,05/20/2008,aftershock973,"I've had my Liberty Sport now for about 3 months. I was first drawn to its rugged good looks and 4x4 reputation. I have to say it the interior is extremely comfortable and the seats are very supportive. Acceleration from a stop is very good, but highway passing... forget it. The V6 feels so sluggish that you have to jam your foot on the gas pedal to get the transmission to downshift into 3rd gear. Everything on this Jeep is great, but they should have revamped the engine and transmission instead of using the version from the old Liberty.","Exterior styling, comfortable seats, 4x4",2008,jeep,liberty,4
9030,05/03/2009,juxtin,"I drove several different vehicles including the tiny Fit and a luxurious CRV, but as soon as I got into the Element I knew it was the right one. The kiwi-metallic color puts a smile on my face every time I see it and it is so much fun to drive. The factory stereo BUMPS! Accelerates well enough... I don't drive too aggressively... kid seat fits with tons of room left over. I wish the rear windows rolled down. They pop open but that can be a hassle while driving. The seats are fairly comfortable. A little stiff but that helps a bad back on a long drive... good support. TONS of interior room. Feels like a real sturdy vehicle. Drove WAY better than the Pilot. Never loved a car like I love my Element!!","Interior room, rear seat options, rubber floor, exterior style, handling, stereo, all seats lay completely flat, power for a 4 cyl, safety features... COMPLETE PACKAGE.",2008,honda,element,5
4249,08/16/2008,maccve,"I just picked it up last night, but it has been nothing but fun since then. This is my second SI, the first being a 1990 model when I was younger. I never owned a vehicle since then that had so much fun character to it, till now. Anyway, it has a great sound from the exhaust and is a blast to drive. I have not quite gotten the sound system adjusted, but I am coming from a BOSE system in the vehicle I have passed to my wife, so it may never sound that good. All I want to do today is drive drive drive!","Engine and body, adjustable seat and steering wheel, and roomy interior. Heck the whole package is just great, car feels so solid and well put together. The gear shifter is the best I have ever used!",2008,honda,civic,4
